"";"Compound";"Filename";"Area";"RT";"Theoretical_amt";"SMILES";"IC";"Molecular_weight";"area_IC";"Theoretical_conc_uM";"slope_pred";"conc_pred";"Compound_homolog";"SMILES_homolog";"slope_homolog";"pattern";"conc_homolog"
"22";"11Cl-PF3OUdS";"cal7_201208143247";90777263;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;14142272695,1719;NA;265315678590,841;0,0533035694320258;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0515794125158365
"23";"11Cl-PF3OUdS";"cal7_201208162928";105574658;6,22;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;16447572374,3237;NA;265315678590,841;0,061992462947086;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0599872551367886
"24";"11Cl-PF3OUdS";"QCN-AL";10462900;6,2;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1630024745,0985;NA;265315678590,841;0,00614371813138212;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,00594499346396846
"25";"11Cl-PF3OUdS";"QCN-BL";13494091;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;2102256758,89199;NA;265315678590,841;0,00792360545768575;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,0076673085661906
"26";"11Cl-PF3OUdS";"QCN-CL";11578562;6,21;NA;"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";155,790913140573;632,599;1803834746,83474;NA;265315678590,841;0,0067988245414495;"9Cl-PF3ONS";"O[S](=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl";274184446959,915;"smaller";0,00657890980628254
"27";"4:2 FTS";"2020071204-cal11";42808;2,47;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;4835152,56317532;3,65683080758061e-05;49852381060,2374;9,69894007135373e-05;"6:2 FTS";"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";40286343385,6706;"bigger";0,000120019643304116
"28";"4:2 FTS";"2020071204-cal12";50501;2,46;0,012;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;5704074,92975418;3,65683080758061e-05;49852381060,2374;0,000114419307733002;"6:2 FTS";"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";40286343385,6706;"bigger";0,00014158830140397
"29";"4:2 FTS";"2020071205-cal21";107751;2,49;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;12170447,6694708;0,000124941719259004;49852381060,2374;0,000244129716788553;"6:2 FTS";"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";40286343385,6706;"bigger";0,000302098593385858
"30";"4:2 FTS";"2020071205-cal22";168543;2,46;0,041;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;19036888,3959834;0,000124941719259004;49852381060,2374;0,00038186517857554;"6:2 FTS";"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";40286343385,6706;"bigger";0,000472539495921454
"31";"4:2 FTS";"2020071206-cal31";239032;2,47;0,144;"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F";112,949742178455;328,153;26998602,7724006;0,000438819696909673;49852381060,2374;0,000541570978119937;"6:2 FTS";"O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";40286343385,6706;"bigger";0,000670167617694577
