Compound Filename Area RT Theoretical_amt SMILES IC Molecular_weight area_IC Theoretical_conc_uM logIE_predicted_LOO logIE_predicted logIE model_nr slope name slope_pred conc_pred_uM conc_pred_pg_uL Compound_homolog SMILES_homolog slope_homolog pattern conc_homolog_uM intercept_homolog conc_homolog_withIntercept_uM
PFDA 2020071204-cal11 88686 4.97 0.012 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 9910938.701144181 2.3342534182223494e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 6.335521278201785e-5 0.032569837852618085 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 1.1508499150231387e-4 20933655.5448206 -1.279948663329401e-4
PFDA 2020071204-cal11 88686 4.97 0.012 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 9910938.701144181 2.3342534182223494e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 6.335521278201785e-5 0.032569837852618085 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 7.408397069719694e-5 30039048.62929527 -1.5045702037638008e-4
PFDA 2020071204-cal12 98544 4.98 0.012 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 11012601.124930115 2.3342534182223494e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 7.039753837574328e-5 0.03619017772081723 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 1.2787740345267595e-4 20933655.5448206 -1.1520245438257804e-4
PFDA 2020071204-cal12 98544 4.98 0.012 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 11012601.124930115 2.3342534182223494e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 7.039753837574328e-5 0.03619017772081723 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 8.231886440232478e-5 30039048.62929527 -1.4222212667125224e-4
PFDA 2020071205-cal21 163811 4.98 0.04 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 18306393.112476937 7.780844727407831e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 1.1702276301823432e-4 0.06015941308070295 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 2.125723061473687e-4 20933655.5448206 -3.0507551687885287e-5
PFDA 2020071205-cal21 163811 4.98 0.04 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 18306393.112476937 7.780844727407831e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 1.1702276301823432e-4 0.06015941308070295 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 1.3683974160384423e-4 30039048.62929527 -8.77012494697328e-5
PFDA 2020071205-cal22 247378 4.97 0.04 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 27645267.5057128 7.780844727407831e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 1.7672108142874877e-4 0.09084930370413545 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 3.210145347389599e-4 20933655.5448206 7.793467690370597e-5
PFDA 2020071205-cal22 247378 4.97 0.04 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 27645267.5057128 7.780844727407831e-5 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 1.7672108142874877e-4 0.09084930370413545 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 2.06647548690111e-4 30039048.62929527 -1.789344238346602e-5
PFDA 2020071206-cal31 339136 4.97 0.142 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 37899511.843484126 2.76219987822978e-4 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 2.4227085945969387e-4 0.12454733024361779 PFNA FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 86118429273.59398 smaller 4.4008596258855644e-4 20933655.5448206 1.970061047533025e-4
PFDA 2020071206-cal31 339136 4.97 0.142 OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 111.75313692289856 514.083 37899511.843484126 2.76219987822978e-4 1.715382695198059 1.715382695198059 1.440813054031529 model_23 114563958344.31128 PFDA 156434463178.96683 2.4227085945969387e-4 0.12454733024361779 PFUnDA OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 133779798894.0565 bigger 2.8329771876468195e-4 30039048.62929527 5.875672769110491e-5
